date,day,week,ipeds_id,university,enrollment,url,total_tests,positive_tests
2020-12-19,Saturday,20,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-12-20,Sunday,20,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-12-21,Monday,20,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-12-22,Tuesday,20,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-12-23,Wednesday,20,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-12-24,Thursday,20,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-12-25,Friday,20,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-12-26,Saturday,21,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-12-27,Sunday,21,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-12-28,Monday,21,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-12-29,Tuesday,21,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-12-30,Wednesday,21,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-12-31,Thursday,21,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2021-01-01,Friday,21,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2021-01-02,Saturday,22,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2021-01-03,Sunday,22,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2021-01-04,Monday,22,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,400.0,0.0
2021-01-05,Tuesday,22,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,500.0,0.0
2021-01-06,Wednesday,22,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,300.0,1.0
2021-01-07,Thursday,22,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,300.0,0.0
2021-01-08,Friday,22,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,300.0,1.0
2021-01-09,Saturday,23,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,300.0,0.0
2021-01-10,Sunday,23,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,300.0,1.0
2021-01-11,Monday,23,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,300.0,0.0
2021-01-12,Tuesday,23,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,300.0,1.0
2021-01-13,Wednesday,23,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,300.0,0.0
2021-01-14,Thursday,23,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,300.0,1.0
2021-01-15,Friday,23,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,300.0,0.0
2021-01-16,Saturday,24,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,300.0,1.0
2021-01-17,Sunday,24,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,300.0,0.0
2021-01-18,Monday,24,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,300.0,1.0
2021-01-19,Tuesday,24,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,300.0,0.0
2021-01-20,Wednesday,24,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,300.0,1.0
2021-01-21,Thursday,24,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,294.0,0.0
