date,day,week,university,enrollment,url,total_tests,positive_tests
2021-01-07,Thursday,22,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2021-01-08,Friday,22,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2021-01-09,Saturday,23,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2021-01-10,Sunday,23,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2021-01-11,Monday,23,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2021-01-12,Tuesday,23,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,185.0,1.0
2021-01-13,Wednesday,23,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,100.0,1.0
2021-01-14,Thursday,23,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,26.0,1.0
2021-01-15,Friday,23,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,497.0,5.0
2021-01-16,Saturday,24,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,588.0,3.0
2021-01-17,Sunday,24,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,722.0,7.0
2021-01-18,Monday,24,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2021-01-19,Tuesday,24,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2021-01-20,Wednesday,24,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,527.0,2.0
2021-01-21,Thursday,24,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,3.0,3.0
2021-01-22,Friday,24,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,1191.0,8.0
2021-01-23,Saturday,25,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,1143.0,6.0
2021-01-24,Sunday,25,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,3.0,0.0
2021-01-25,Monday,25,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2021-01-26,Tuesday,25,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,896.0,8.0
2021-01-27,Wednesday,25,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,1086.0,2.0
2021-01-28,Thursday,25,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,793.0,0.0
2021-01-29,Friday,25,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,788.0,4.0
2021-01-30,Saturday,26,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,930.0,2.0
2021-01-31,Sunday,26,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2021-02-01,Monday,26,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2021-02-02,Tuesday,26,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,895.0,5.0
2021-02-03,Wednesday,26,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,1008.0,2.0
2021-02-04,Thursday,26,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,840.0,0.0
2021-02-05,Friday,26,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,866.0,0.0
2021-02-06,Saturday,27,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,1069.0,1.0
2021-02-07,Sunday,27,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2021-02-08,Monday,27,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2021-02-09,Tuesday,27,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,891.0,3.0
